,duration,rating,production_cost,worldwide_gross,opening_weekend,oscar,golden globe,certificate_G,certificate_PG,certificate_PG-13,certificate_R,certificate_TV-MA
120,135.0,7.8,171700920.78001276,721549777.3428264,95974472.89201786,1,1,0,0,1,0,0
121,130.0,7.6,171700920.78001276,717754860.7618386,73337934.55912165,1,1,0,0,1,0,0
122,92.0,6.6,209767825.828791,385873390.55231524,28781422.819590908,1,1,1,0,0,0,0
123,127.0,6.1,177974154.72997615,419832389.8393482,58854691.99037283,1,1,0,0,1,0,0
124,132.0,6.0,209767825.828791,370364279.15143836,63853375.53941947,0,1,0,0,1,0,0
126,132.0,6.0,158455150.27404097,357269680.1844243,44531762.86383301,0,0,0,0,1,0,0
127,129.0,6.4,170000000.0,206627518.0,33028165.000000004,1,1,0,1,0,0,0
128,122.0,7.3,158455150.27404097,374606654.3137828,26588413.497494917,1,1,0,0,1,0,0
129,113.0,6.2,168313106.2975334,274180180.8931249,26592209.43679014,1,1,0,1,0,0,0
130,93.0,6.3,179627051.69193792,823284854.3559011,77117928.91244362,0,1,0,1,0,0,0
131,115.0,7.5,163362720.81819415,669643080.3256825,84214285.53430384,0,0,0,0,1,0,0
132,108.0,7.8,166650893.69824767,654902686.2846711,56778352.37509995,0,0,0,1,0,0,0
133,91.0,8.1,179627051.69193792,538740710.6716642,47609136.518917084,0,0,0,1,0,0,0
134,101.0,7.7,172739620.76732978,519801283.90394,51338960.68968669,0,1,0,1,0,0,0
135,165.0,8.7,166650893.69824767,655628727.668211,47985720.93288169,1,1,0,0,1,0,0
136,156.0,8.0,145286259.93939626,350201987.08457977,36111273.249598846,0,1,0,0,1,0,0
137,119.0,5.2,163362720.81819415,380357347.6351422,40632708.57009893,0,0,0,0,1,0,0
138,123.0,8.0,254634040.1365553,2021224627.3242831,278109096.0526985,0,0,1,0,0,0,0
139,143.0,6.8,151809624.08972046,1085209864.3521707,64399086.627908565,0,0,0,0,1,0,0
140,92.0,6.1,180809537.92714867,912332084.3278278,137448325.66947755,0,1,0,1,0,0,0
141,147.0,8.8,174183807.7012731,793170424.8629973,68351181.66542268,1,1,0,0,1,0,0
142,136.0,6.5,160000000.0,648986787.0,102665981.0,1,1,0,0,1,0,0
144,108.0,6.1,174183807.7012731,237310545.27742615,19181580.313857008,1,1,0,1,0,0,0
145,123.0,6.7,158412335.33885494,434544663.12282765,23926312.00722285,0,0,0,0,1,0,0
146,107.0,7.1,154452026.95538357,121145149.30711608,20022867.71167555,0,0,0,0,1,0,0
147,113.0,6.3,136481032.06428134,412141570.98208976,105662.7345013791,0,1,0,0,1,0,0
148,111.0,5.6,147065573.3369167,276037477.52654207,26677253.806596674,0,0,0,0,1,0,0
149,175.0,5.6,191258900.02036828,206432753.0784352,16888885.187761825,1,1,0,0,0,1,0
150,142.0,7.4,147686255.497599,475697688.3803336,54666192.81142942,0,0,0,0,1,0,0
151,182.0,6.2,198797653.0300752,589490616.6599075,77523096.03412768,0,1,0,0,1,0,0
152,142.0,7.0,170639001.41874656,800390250.5373994,79671896.711265,0,0,0,0,1,0,0
153,103.0,6.8,139813367.8888597,1347038678.5340066,121417058.6299482,0,0,0,1,0,0,0
154,141.0,7.4,145743015.29368323,794841812.0955086,100321204.78032193,0,1,0,0,1,0,0
155,102.0,7.4,154333713.07232606,1298243266.4261692,250421.88283115625,0,0,0,1,0,0,0
156,108.0,8.0,148511564.3801765,994661088.4667003,74318554.06804338,0,1,0,1,0,0,0
157,138.0,7.5,169508941.8067019,1061826442.0304202,87137104.41022052,0,0,0,0,1,0,0
158,150.0,7.7,179461656.27863118,1060912992.8616573,122854617.58415285,0,0,0,0,1,0,0
159,138.0,7.2,190057809.01710513,935815419.4421467,116282959.0574062,0,0,0,0,0,1,0
